filename	idx	character	case	minTime	maxTime	rhyme	rhyme_duration	f0min	f0max	f0min_time	f0max_time	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20
S22diaA2	3	开	Verb	0.7125	0.8525	@y	0.08162999999999998	113.297	144.872	0.8491845790367089	0.77087	144.906	144.89	144.874	144.046	143.13	142.729	142.663	142.293	141.24	140.186	138.94	137.694	136.039	134.22	132.529	131.016	128.83	121.695	114.56	113.672
S22diaA2	4	哒	Aspect	0.8525	0.9305	a	0.05149999999999999	114.146	119.103	0.9217933526267276	0.8970780445340981	116.691	117.335	117.814	118.191	118.568	118.946	118.994	119.035	119.076	118.835	118.038	117.24	116.443	115.808	115.244	114.679	114.16	114.419	114.679	114.939
S22diaA2	5	杂	Classifier	0.9305	1.0325	a	0.05999999999999994	135.229	147.125	1.0325	0.989254641532283	139.524	141.325	143.053	144.753	146.454	146.986	146.756	146.526	145.546	143.756	141.965	140.493	139.598	138.704	137.81	136.918	136.027	135.203	134.959	134.715
S22diaA2	6	椰	Object	1.0325	1.19372	E	0.1225099999999999	122.025	134.471	1.19372	1.1689270916349306	129.793	128.184	126.611	125.141	124.239	124.025	124.329	125.353	126.097	126.609	129.394	131.182	131.865	132.764	133.568	134.217	134.396	133.615	131.185	126.065
S22diaA2	7	子	 Object(suffix)	1.19372	1.33617	I	0.06973000000000007	124.7	129.829	1.312229813922542	1.2674603779633928	129.769	129.535	129.192	128.786	128.072	127.357	126.755	126.273	125.791	125.442	125.128	124.841	124.786	124.732	124.745	124.855	124.965	125.121	125.293	125.453
S22diaA2	0	啊	SFP	1.33617	1.5325	a	0.1963299999999999	123.052	128.056	1.38245940783291	1.5027235262434364	125.252	124.627	124.026	123.606	123.222	123.112	123.448	123.606	123.742	123.594	123.124	123.321	123.963	124.737	125.456	126.152	127.574	128.001	127.52	125.956
S22diaN1F2	1	小	Name(prefix)	0.1211	0.31275	yaw	0.06614999999999996	110.802	118.626	0.31275	0.25031179138321996	118.626	118.626	118.442	118.232	118.023	117.792	117.367	116.942	116.517	116.072	115.587	115.102	114.617	113.881	112.931	111.98	111.03	109.943	108.813	107.683
S22diaN1F2	2	岳	Name	0.31275	0.53672	o	0.18452999999999997	91.525	122.162	0.40442710891625483	0.5151939683009751	98.044	96.728	95.293	93.917	92.673	91.729	91.678	92.626	94.495	95.397	97.017	100.164	105.471	110.25	112.001	113.376	117.575	120.846	121.309	118.971
S22diaN1F2	3	喫	Verb	0.53672	0.73042	y@	0.10493999999999992	110.574	117.221	0.73042	0.62548	120.097	118.873	117.649	116.832	116.233	115.688	115.289	114.889	114.739	114.621	114.354	113.939	113.481	112.715	111.95	111.476	111.106	110.824	110.7	110.577
S22diaN1F2	4	哒	Aspect	0.73042	0.76667	a	0.036250000000000004	105.271	109.795	0.76667	0.73042	110.256	110.143	110.03	109.917	109.804	109.623	109.437	109.25	109.064	108.878	108.691	108.498	108.028	107.558	107.089	106.619	106.15	105.68	105.21	104.731
