filename	idx	character	case	minTime	maxTime	rhyme	rhyme_duration	f0min	f0max	f0min_time	f0max_time	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10
S10dia1D2	1	阿	Name(prefix)	0.26714	0.3509	a	0.06375999999999998	112.528	117.284	0.28934240362811786	0.3222295256744658	112.528	113.111	114.002	114.979	115.953	116.913	116.839	116.113	114.954	113.812
S10dia1D2	2	明	Name	0.3509	0.67902	iN	0.23478999999999994	94.914	110.825	0.6200073287422687	0.44683428804600756	110.263	104.726	99.988	97.84	97.799	97.141	97.37	96.147	96.751	96.685
S10dia1D2	3	唔	Verb	0.67902	0.77237	m	0.09335000000000004	97.569	103.202	0.67902	0.7326301860646826	96.799	97.669	98.0	98.135	99.984	102.407	102.95	102.028	101.173	101.47
S10dia1D2	4	中	Verb	0.77237	0.9525	uN	0.10438000000000003	132.151	148.919	0.9525	0.84812	154.17	148.611	146.197	143.579	143.075	143.521	141.702	139.634	137.085	132.532
S10dia1D2	5	意	Verb	0.9525	1.06634	i	0.11384000000000005	113.061	127.899	1.06634	0.9525	128.347	124.022	119.241	115.715	114.076	113.065	113.184	113.809	114.661	114.401
S10dia1D2	6	呢	Modifier	1.06634	1.19652	i	0.07804000000000011	119.625	125.005	1.1890284735392795	1.11848	125.113	124.785	124.381	124.297	124.511	124.989	124.565	123.162	121.354	119.754
S10dia1D2	7	个	Modifier	1.19652	1.30216	o	0.038289999999999935	105.216	109.398	1.30216	1.2734762276733984	108.55	108.815	109.119	109.354	108.797	108.241	107.577	106.64	105.702	104.813
S10dia1D2	8	方	Object	1.30216	1.6025	oN	0.15993999999999997	109.92	123.853	1.6025	1.446485260770975	123.853	121.981	120.057	118.452	116.953	116.112	114.962	112.069	110.854	109.923
S10dia1D2	9	案	Object	1.6025	1.77919	on	0.17669	105.108	108.674	1.721579252974261	1.6025	109.238	107.338	106.778	107.133	106.991	106.046	105.634	105.207	106.5	106.28
S10dia1B2	1	阿	Name(prefix)	0.2125	0.33248	a	0.05997999999999998	112.31	113.935	0.28816637136676415	0.2725	117.083	113.353	112.734	112.462	113.29	113.823	113.904	113.853	113.719	113.222
S10dia1B2	2	影	Name	0.33248	0.5525	iN	0.16748000000000002	111.524	131.048	0.43712226679289123	0.5318436390290715	112.835	114.318	112.373	111.747	113.443	117.33	122.947	127.948	130.463	131.046
S10dia1B2	3	考	Verb	0.5525	0.74944	aw	0.09528000000000003	111.05	115.501	0.6842997094633831	0.7431243389657024	114.769	112.82	111.815	111.217	111.677	112.926	114.153	114.896	115.337	115.499
S10dia1B2	4	咗	Aspect	0.74944	0.9025	o	0.06455999999999995	117.428	122.13	0.8972001887501284	0.83794	122.897	122.321	121.208	119.836	119.547	119.325	119.23	118.984	118.658	117.904
S10dia1B2	5	七	Object	0.9025	1.03944	@	0.016939999999999955	123.265	126.918	1.03944	1.0225	128.731	128.235	127.738	127.242	126.717	126.139	125.561	124.984	124.406	123.828
S10dia1B2	6	十	Object	1.03944	1.17584	@	0.03228999999999993	100.996	128.728	1.1523967933075998	1.135827664399093	128.728	126.271	117.934	109.597	101.259	101.043	101.023	101.003	101.27	101.686
S10dia1B2	7	几	Object	1.17584	1.36599	ey	0.09621999999999997	101.304	129.949	1.2897763366596533	1.2702872839167714	129.204	118.51	102.593	105.416	104.532	104.885	106.323	108.178	110.264	111.18
S10dia1B2	8	分	Object	1.36599	1.55558	@n	0.10714000000000001	116.126	126.11	1.44844	1.5434403038075382	114.275	117.613	117.422	117.125	116.265	117.196	118.487	118.586	121.018	125.192
S10dia1C2	1	阿	Name(prefix)	0.25681	0.3425	a	0.06569000000000003	111.596	128.295	0.2814115646258504	0.2939626452472134	111.596	114.662	124.901	124.946	120.075	118.775	117.482	116.199	115.117	114.033
S10dia1C2	2	正	Name	0.3425	0.60328	EN	0.15556000000000003	111.933	118.539	0.5151602518111517	0.4620061183263821	117.969	118.524	115.852	112.997	112.301	112.861	113.773	113.853	114.174	113.648
S10dia1C2	3	去	Verb	0.60328	0.82219	&i	0.12968999999999997	110.432	118.047	0.82219	0.6925	120.757	116.687	114.045	112.889	112.492	112.174	112.076	111.851	111.501	110.733
S10dia1C2	4	咗	Aspect	0.82219	1.0625	o	0.14549999999999996	113.009	123.623	0.9574981857414622	1.0401491249644685	119.764	115.838	114.15	113.32	114.789	116.991	120.156	122.006	123.078	122.833
S10dia1C2	5	美	Modifier	1.0625	1.25529	ey	0.09749000000000008	103.414	116.651	1.24529	1.1478	116.669	114.905	110.032	107.472	106.384	105.426	104.873	104.422	104.218	103.319
S10dia1C2	6	国	Modifier	1.25529	1.42813	wo	0.05967000000000011	104.148	116.677	1.384982993197279	1.3314115646258504	116.677	115.148	112.123	110.266	108.887	108.386	107.889	106.799	105.717	104.652
S10dia1C2	7	读	Object	1.42813	1.56868	u	0.026180000000000092	101.127	104.224	1.49868	1.4773511531035266	103.869	103.973	104.077	104.182	103.773	103.016	102.259	101.502	101.013	100.787
S10dia1C2	8	书	Object	1.56868	1.78686	U	0.11474999999999991	110.074	141.97	1.7659210987884049	1.6742687074829932	141.97	136.943	133.019	129.448	124.953	120.631	116.568	112.852	110.336	113.226
S10dia1F2	1	阿	Name(prefix)	0.3661	0.46531	a	0.049209999999999976	112.169	120.506	0.4192063492063492	0.4463038360478934	112.169	112.779	114.431	116.178	118.323	120.438	120.47	120.501	119.628	118.578
S10dia1F2	2	静	Name	0.46531	0.75265	iN	0.18001	102.351	119.746	0.75265	0.581240595136128	116.918	117.228	111.872	109.529	108.534	109.543	108.946	108.357	107.271	105.605
S10dia1F2	3	订	Verb	0.75265	1.0011	EN	0.15856000000000015	102.296	111.017	1.0011	0.8477777777777777	111.017	106.905	104.87	102.726	103.088	102.348	103.055	104.287	104.823	105.444
S10dia1F2	4	咗	Aspect	1.0011	1.1325	o	0.09000000000000008	119.419	132.23	1.0425	1.1325	116.252	119.45	121.345	123.23	125.562	127.931	129.885	131.388	132.135	131.937
S10dia1F2	5	两	Modifier	1.1325	1.34206	&N	0.16464999999999996	106.93	132.094	1.2628609097144616	1.17741	132.571	124.601	115.802	109.5	108.172	107.007	107.369	109.44	111.186	113.305
S10dia1F2	6	张	Modifier	1.34206	1.52093	&N	0.12842999999999982	115.91	138.75	1.52093	1.3925	139.095	134.879	133.286	131.326	129.349	127.368	124.934	120.999	118.78	116.785
S10dia1F2	7	电	Object	1.52093	1.6725	in	0.10000000000000009	96.886	106.087	1.6725	1.5725	110.741	105.821	104.095	102.055	101.31	101.165	100.79	99.976	98.873	96.832
S10dia1F2	8	影	Object	1.6725	1.8325	iN	0.1200000000000001	97.933	113.975	1.735504508219	1.8325	99.218	98.712	97.971	99.472	103.724	108.854	112.502	113.799	113.571	112.745
S10dia1F2	9	票	Object	1.8325	2.11543	yow	0.20797999999999983	99.583	112.802	2.0258963668722845	1.9084920634920635	112.802	108.819	102.969	101.45	101.499	100.415	99.839	101.141	101.829	102.215
