filename	idx	character	case	minTime	maxTime	rhyme	rhyme_duration	f0min	f0max	f0min_time	f0max_time	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20
S2diaNB5	4	了	Aspect	0.6898	0.75924	o	0.03314000000000006	106.997	114.236	0.7534580498866214	0.7326923788179411	112.956	113.855	114.136	113.963	113.79	113.617	113.444	113.271	113.098	112.905	112.119	111.332	110.545	109.759	108.972	108.185	107.399	106.997	106.997	106.997
S2diaNB5	5	个	Classifier	0.75924	0.84307	o	0.019000000000000017	102.007	103.053	0.84307	0.8284580498866213	103.053	103.053	103.053	103.053	103.053	103.023	102.943	102.864	102.784	102.705	102.625	102.546	102.466	102.387	102.308	102.228	102.149	102.069	101.981	101.86
S2diaNB5	6	篮	Object	0.84307	1.12733	E	0.2416799999999999	85.21	101.115	1.1159580498866215	0.87565	100.936	99.315	98.315	97.639	97.367	97.389	97.074	96.524	96.049	95.591	95.265	95.344	95.544	95.075	93.749	93.131	94.157	93.408	91.77	89.568
S2diaNB5	7	子	Object(suffix)	1.12733	1.3825	I	0.03167999999999993	102.185	103.302	1.2625	1.23082	104.962	104.703	104.443	104.184	103.925	103.665	103.406	103.217	103.076	102.934	102.793	102.651	102.51	102.368	102.227	102.082	101.937	101.791	101.646	101.5
S2diaN1A5	1	小	Name(prefix)	0.44614	0.6007	yaw	0.06554000000000004	154.93	165.796	0.5955105306899593	0.53516	170.923	168.58	166.236	164.753	163.468	162.235	161.143	160.051	159.234	158.521	157.882	157.579	157.276	156.905	156.496	156.08	155.61	155.139	154.965	155.028
S2diaN1A5	2	英	Name	0.6007	0.70872	yin	0.10802	152.06	170.308	0.6853322303943382	0.6627160536887405	155.1	156.569	159.177	163.101	165.246	166.579	166.828	168.034	169.191	169.775	170.109	170.305	170.291	169.71	167.629	156.684	155.312	160.738	160.424	159.252
S2diaN1A5	3	捏	Verb	0.70872	0.79203	yE	0.06462000000000001	154.794	167.526	0.7319762636107774	0.79203	156.043	155.431	154.818	156.492	158.258	159.648	160.431	161.213	161.746	162.219	162.738	163.421	164.105	164.725	165.312	165.902	166.548	167.194	167.528	167.531
S2diaN1A5	4	了	Aspect	0.79203	0.8483	o	0.01377000000000006	152.44	152.44	0.83453	0.8483	151.78	151.838	151.896	151.955	152.013	152.071	152.13	152.188	152.246	152.305	152.363	152.421	156.881	163.497	170.114	176.73	183.347	189.963	196.579	203.196
S2diaN1A5	5	个	Classifier	0.8483	0.92101	o	0.03705999999999998	109.427	135.331	0.9173299319727892	0.8909285511306603	133.758	134.099	134.449	134.799	135.149	134.995	134.291	133.586	132.882	132.178	130.837	129.484	128.131	126.778	124.289	120.587	116.884	113.181	109.479	109.427
S2diaN1A5	6	狮	Object	0.92101	1.24733	I	0.1136600000000001	93.583	154.183	1.13367	1.226187313258522	93.453	96.533	100.17	104.353	107.571	111.026	114.949	122.079	127.951	132.727	135.77	139.071	142.531	146.126	149.768	152.743	153.956	153.418	152.15	150.265
